iter	Passed	Remaining
0	44	66126
1	92	69648
2	137	68827
3	180	67387
4	221	66223
5	259	64493
6	306	65331
7	347	64730
8	387	64202
9	427	63661
10	467	63269
11	507	62907
12	549	62852
13	590	62647
14	630	62434
15	669	62096
16	710	61981
17	751	61901
18	793	61825
19	834	61734
20	875	61635
21	914	61433
22	953	61243
23	992	61051
24	1030	60801
25	1069	60640
26	1110	60601
27	1148	60392
28	1186	60191
29	1227	60135
30	1264	59919
31	1303	59785
32	1344	59788
33	1385	59718
34	1423	59583
35	1461	59428
36	1500	59344
37	1535	59095
38	1575	59013
39	1617	59046
40	1656	58958
41	1697	58911
42	1736	58830
43	1772	58657
44	1813	58625
45	1853	58572
46	1891	58476
47	1931	58415
48	1969	58316
49	2009	58288
50	2049	58234
51	2088	58167
52	2127	58095
53	2164	57971
54	2203	57897
55	2245	57906
56	2289	57963
57	2331	57964
58	2374	57982
59	2414	57954
60	2455	57927
61	2491	57796
62	2538	57891
63	2577	57833
64	2617	57791
65	2660	57801
66	2701	57771
67	2741	57733
68	2788	57821
69	2825	57723
70	2866	57699
71	2906	57648
72	2944	57566
73	2983	57489
74	3027	57513
75	3068	57494
76	3107	57434
77	3148	57396
78	3187	57342
79	3230	57345
80	3272	57336
81	3306	57186
82	3344	57092
83	3386	57093
84	3431	57118
85	3468	57028
86	3509	57000
87	3548	56941
88	3591	56932
89	3629	56854
90	3675	56912
91	3720	56933
92	3759	56872
93	3793	56745
94	3835	56718
95	3874	56658
96	3912	56590
97	3958	56628
98	3999	56593
99	4035	56496
100	4074	56444
101	4116	56425
102	4156	56370
103	4192	56270
104	4233	56238
105	4274	56210
106	4315	56176
107	4356	56145
108	4394	56085
109	4435	56046
110	4476	56010
111	4515	55962
112	4556	55923
113	4592	55838
114	4630	55764
115	4664	55647
116	4702	55582
117	4746	55588
118	4789	55583
119	4832	55579
120	4874	55551
121	4922	55604
122	4961	55545
123	4998	55471
124	5036	55400
125	5077	55370
126	5125	55415
127	5163	55342
128	5209	55364
129	5252	55350
130	5293	55321
131	5334	55283
132	5377	55271
133	5418	55234
134	5454	55150
135	5495	55114
136	5533	55049
137	5573	55008
138	5614	54973
139	5652	54908
140	5685	54799
141	5719	54693
142	5756	54623
143	5797	54588
144	5839	54565
145	5879	54523
146	5918	54476
147	5956	54414
148	5998	54390
149	6040	54361
150	6075	54274
151	6118	54258
152	6160	54235
153	6201	54203
154	6257	54298
155	6301	54290
156	6344	54269
157	6386	54246
158	6430	54232
159	6454	54057
160	6495	54024
161	6531	53945
162	6577	53949
163	6616	53899
164	6660	53887
165	6705	53883
166	6751	53894
167	6797	53895
168	6836	53843
169	6884	53858
170	6923	53811
171	6958	53728
172	6991	53627
173	7033	53599
174	7055	53423
175	7097	53388
176	7134	53328
177	7179	53325
178	7213	53235
179	7254	53200
180	7299	53193
181	7343	53176
182	7386	53157
183	7428	53131
184	7466	53071
185	7499	52983
186	7540	52943
187	7576	52871
188	7615	52825
189	7657	52797
190	7673	52586
191	7712	52541
192	7756	52525
193	7798	52500
194	7839	52464
195	7882	52444
196	7923	52409
197	7957	52325
198	8000	52307
199	8038	52252
200	8076	52196
201	8121	52186
202	8158	52127
203	8199	52092
204	8239	52046
205	8262	51899
206	8310	51907
207	8351	51877
208	8390	51830
209	8438	51837
210	8475	51778
211	8517	51745
212	8553	51679
213	8596	51657
214	8640	51644
215	8679	51596
216	8721	51562
217	8760	51518
218	8798	51467
219	8845	51465
220	8884	51414
221	8922	51364
222	8961	51315
223	8998	51261
224	9041	51234
225	9085	51218
226	9132	51213
227	9171	51167
228	9211	51123
229	9252	51091
230	9290	51034
231	9335	51021
